Heading,Description,Date_Source
'Where have we reached in name of religion?': SC orders suo motu action against hate speeches,"Calling hate speeches a ""very serious issue"", the Supreme Court directed Uttar Pradesh and Uttarakhand governments to promptly register criminal cases against the culprits without waiting for a complaint. It warned any delay on the part of the administration will invite the court's contempt.","India TV News Desk | October 21, 2022 17:42 IST"
Money laundering case: Special CBI court dismisses Anil Deshmukh's bail plea,Anil Deshmukh money laundering case: 71-year-old former Maharashtra home minister Anil Deshmukh sought for bail days after he was granted bail by the Bombay high court on October 4 related to a money laundering case filed against him by the Enforcement Directorate (ED).,"India TV News Desk | October 21, 2022 18:27 IST"
SpiceJet to operate with full capacity from October 30 as DGCA lifts restrictions,"The aviation regulator, DGCA, allowed SpiceJet to function to its full capacity from October 30.","India TV News Desk | October 21, 2022 16:47 IST"
OPINION | Pollution: Is ban on firecrackers a solution?,"Anybody bursting firecrackers in the national capital till January 1 can be fined Rs 200 and jailed up to six months, while sale, storage and production of firecrackers will attract a fine of Rs 5,000 and imprisonment up to three years under Section 9B of Explosives Act.","India TV News Desk | October 21, 2022 16:17 IST"
Delhi govt to launch 'Red Light on Gaadi off' campaign to curb vehicular pollution from October 28,Ten volunteers will be deployed at each traffic signal in two shifts. The major focus will be on 10 big traffic intersections where 20 volunteers each will be stationed.,"India TV News Desk | October 21, 2022 15:59 IST"
"Arunachal helicopter crash: Wreckage of Army chopper located, 4 bodies found","Arunachal Helicopter Crash: According to initial reports, the site of the accident is not connected by road and rescue team has been sent. Local villagers were also said to be involved in rescue work.","India TV News Desk | October 21, 2022 18:12 IST"
"Arunachal helicopter crash: Wreckage of Army chopper located, 4 bodies found","Arunachal Helicopter Crash: According to initial reports, the site of the accident is not connected by road and rescue team has been sent. Local villagers were also said to be involved in rescue work.","India TV News Desk | October 21, 2022 18:12 IST"
"""Krishna also talks of Jihad to Arjun"": Shivraj Patil's clarification after his remarks spark row",Jihad in Bhagwat Gita Row: The controversy gives ammo to BJP against Congress and the ruling party attacks the grand old party on Patil's controversial remarks.,"India TV News Desk | October 21, 2022 12:06 IST"
Andhra Pradesh: Bus carrying 60 passengers catches fire on way to Vijayawada,"Andhra Pradesh: The fire started from the bus engine. Noticing the smoke, the driver stopped the vehicle and asked the passengers to get down.","India TV News Desk | October 21, 2022 11:36 IST"
Congress leader Rahul Gandhi-led Bharat Jodo Yatra re-enters Karnataka at Raichur,Bharat Jodo Yatra: Congress leader Rahul Gandhi-led Bharat Jodo Yatra is scheduled to spend more time in the south region aiming revival of lost ground in the region.,"India TV News Desk | October 21, 2022 11:12 IST"
Prayagraj hospital sealed after dengue patient transfused fruit juice instead of platelets,"Prayagraj: The patient, identified as Pradeep Pandey, was shifted to another hospital, where he died after his condition deteriorated, officials said.","India TV News Desk | October 21, 2022 11:06 IST"
Pune: Two labourers die while cleaning 18-feet deep septic tank,"Pune: As per the information given by the residents, there is the possibility that one more worker is stuck inside.","India TV News Desk | October 21, 2022 10:45 IST"
"COVID-19: India reports 2,119 fresh cases in last 24 hours, active cases come down to 25,037","COVID-19: The total active cases in India have decreased to 25,037, the health ministry data showed on Friday.","India TV News Desk | October 21, 2022 9:54 IST"
Ankita Bhandari murder case: Uttarakhand High Court asks SIT to file status report,"Ankita Bhandari murder case: It has been alleged that after the murder, important evidence related to the crime was destroyed on the instructions of Yamkeshwar MLA Renu Bisht by running a bulldozer at Vanantra Resort.","India TV News Desk | October 21, 2022 9:43 IST"
"Over 7,000 unrecognised madrasas in Uttar Pradesh, says survey",Uttar Pradesh madrasas survey: The final list of unrecognised madrasas will be released only after the district magistrates submit their reports by November 15.,"India TV News Desk | October 21, 2022 9:00 IST"
"‘Hitting with stick, pulling woman’s hair’: Noida's society election takes ugly turn | Video","The video of the fighting went viral on social media like wildfire. In recent days, Noida's housing societies hit headlines for all the wrong reasons.","India TV News Desk | October 21, 2022 8:40 IST"
SpiceJet suspends operations in Sikkim,"""SpiceJet flights to and from Pakyong airport have been temporarily suspended with effect from October 30, 2022, due to operational constraints,"" a spokesperson said.","India TV News Desk | October 21, 2022 8:17 IST"
'Muslims can never trust people who worship Nathuram Godse': SP MLA Iqbal Mehmood on vote for BJP,"SP MLA Iqbal Mehmood on vote for BJP: He also accused All India Majlis-e-Ittehadul Muslimeen led by Asaduddin Owaisi the ""B team"" of Bharatiya Janata Party.","India TV News Desk | October 21, 2022 8:09 IST"
"After government's decision to ban 'single use plastic', around 46 tonnes seized so far in India",Single use plastic ban: CPCB along with SPCBs/PCCs also conducted inspections of major commercial establishments from July-August 2022.,"India TV News Desk | October 21, 2022 7:38 IST"
